Railroad Code,Railroad Name,Report Year,Incident Number,Incident Year,Incident Month,Other Railroad Code,Other Railroad Name,Other Incident Number,Other Incident Year,Other Incident Month,Maintenance Incident Railroad Code,Maintenance Railroad Name,Maintainance Incident Number,Maintenance Incident Year,Maintenance Incident Month,Grade Crossing ID,Date,Time,Month,Day,Hour,Minute,AM/PM,Nearest Station,Division,Subdivision,County Code,County Name,State Code,State Name,City Name,Highway Name,Public/Private Code,Public/Private,Highway User Code,Highway User,Estimated Vehicle Speed,Vehicle Direction Code,Vehicle Direction,Highway User Position Code,Highway User Position,Equipment Involved Code,Equipment Involved,Railroad Car Unit Position,Equipment Struck Code,Equipment Struck,Hazmat Involvement Code,Hazmat Involvement,Hazmat Released by Code,Hazmat Released by,Hazmat Released Name,Hazmat Released Quantity,Hazmat Released Measure,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Equipment Type Code,Equipment Type,Track Type Code,Track Type,Track Name,Track Class,Number of Locomotive Units,Number of Cars,Train Speed,Estimated/Recorded Speed,Train Direction Code,Train Direction,Crossing Warning Expanded Code 1,Crossing Warning Expanded Code 2,Crossing Warning Expanded Code 3,Crossing Warning Expanded Code 4,Crossing Warning Expanded Code 5,Crossing Warning Expanded Code 6,Crossing Warning Expanded Code 7,Crossing Warning Expanded Code 8,Crossing Warning Expanded Code 9,Crossing Warning Expanded Code 10,Crossing Warning Expanded Code 11,Crossing Warning Expanded Code 12,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Crossing Warning Expanded 8,Crossing Warning Expanded 9,Crossing Warning Expanded 10,Crossing Warning Expanded 11,Crossing Warning Expanded 12,Signaled Crossing Warning Code,Signaled Crossing Warning,Crossing Warning Explanation Code,Crossing Warning Explanation,Roadway Condition Code,Roadway Condition,Crossing Warning Location Code,Crossing Warning Location,Warning Connected To Signal,Crossing Illuminated,User Age,User Gender,User Struck By Second Train,Highway User Action Code,Highway User Action,Driver Passed Vehicle,View Obstruction Code,View Obstruction,Driver Condition Code,Driver Condition,Driver In Vehicle,Crossing Users Killed For Reporting Railroad,Crossing Users Injured For Reporting Railroad,Vehicle Damage Cost,Number Vehicle Occupants,Employees Killed For Reporting Railroad,Employees Injured For Reporting Railroad,Number People On Train,Form 54 Filed,Passengers Killed For Reporting Railroad,Passengers Injured For Reporting Railroad,Video Taken,Video Used,Special Study 1,Special Study 2,Narrative,Total Killed Form 57,Total Injured Form 57,Railroad Type,Joint Code,Total Killed Form 55A,Total Injured Form 55A,District,Whistle Ban Code,Whistle Ban,Report Key
BNSF,BNSF Railway Company,2009,CA0109200,09,01,,,,,,BNSF,BNSF Railway Company,CA0109200,09,01,028440X,01/14/2009,7:40 AM,01,14,07,40,AM,CONEJO,CALIFORNIA,,019,FRESNO,06,CALIFORNIA,,CLARKSON AVE,Y,Public,J,Other motor vehicle,4,3,East,3,Moving over crossing,1,Train (units pulling),4,2,Rail equipment struck by highway user,4,Neither,4,Neither,,,,37,2,Day,4,Fog,1,Freight Train,1,Main,MAIN TRACK,5,2,74,55,E,3,East,1,,,,,,,,,,,2,Gates,,,,,,,,,,,Cantilever FLS,1,Provided minimum 20-second warning,,,,,1,Both sides,,No,30,Male,No,1,Went around the gate,No,8,Not obstructed,2,Injured,Yes,0,1,2000,1,0,0,2,No,0,0,,,,,,0,1,1L,1,0,1,7,2,No,BNSFCA0109200200901
BNSF,BNSF Railway Company,2009,CA0109201,09,01,,,,,,UP,Union Pacific Railroad Company,XXX,09,01,757414U,01/17/2009,5:52 PM,01,17,05,52,PM,EDISON,CALIFORNIA,,029,KERN,06,CALIFORNIA,,VINELAND ROAD,Y,Public,A,Auto,0,2,South,1,Stalled or stuck on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,2,Rail equipment,4,Neither,,,,59,4,Dark,1,Clear,1,Freight Train,1,Main,DOUBLE MAIN,4,4,64,59,R,1,North,1,,,,,,,,,,,3,Gates,,,,,,,,,,,Standard FLS,1,Provided minimum 20-second warning,,,,,2,Side of vehicle approach,No,Unknown,41,Male,Unknown,4,Stopped on crossing,Unknown,8,Not obstructed,1,Killed,Yes,1,6,5000,7,0,0,2,No,0,0,,,,,,1,6,1L,1,1,6,7,2,No,BNSFCA0109201200901
NS,Norfolk Southern Railway Company,2020,139633,20,11,,,,,,NS,Norfolk Southern Railway Company,139633,20,11,731823L,11/03/2020,6:40 PM,11,03,06,40,PM,MADISON,,ALABAMA,089,MADISON,01,ALABAMA,MADISON,LR/GRAPHICS WAY,Y,Public,A,Auto,0,3,East,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,4,Neither,,,,49,3,Dusk,1,Clear,1,Freight Train,1,Main,SINGLE MAIN TRACK,1,1,3,5,R,2,South,2,3,,,,,,,,,,6,Cantilever FLS,Standard FLS,,,,,,,,,,Audible,1,Provided minimum 20-second warning,,,A,Dry,1,Both sides,No,Yes,62,Female,No,4,Stopped on crossing,No,8,Not obstructed,3,Uninjured,No,0,0,800,1,0,0,2,No,0,0,No,No,,,"NS TRAIN A85AA03 STRUCK A TOYOTA SEDAN THAT FAILED TO STOP AT A HWY-GRADE CROSSING, NOT EQUIPPED WIITH GATES. DRIVER'S AGE VERIFIED.",0,0,1,1,0,0,3,,,NS139633202011
BNSF,BNSF Railway Company,2008,CA0208200,08,02,,,,,,BNSF,BNSF Railway Company,CA0208200,08,02,028442L,02/09/2008,9:00 AM,02,09,09,00,AM,CONEJO,CALIFORNIA,,019,FRESNO,06,CALIFORNIA,,CONEJO AVE,Y,Public,J,Other motor vehicle,1,3,East,3,Moving over crossing,1,Train (units pulling),80,2,Rail equipment struck by highway user,4,Neither,4,Neither,,,,39,2,Day,4,Fog,1,Freight Train,3,Siding,SIDING,5,4,76,31,R,3,East,1,,,,,,,,,,,2,Gates,,,,,,,,,,,Cantilever FLS,1,Provided minimum 20-second warning,,,,,1,Both sides,,No,22,Male,No,1,Went around the gate,Unknown,8,Not obstructed,2,Injured,Yes,0,2,1200,3,0,0,2,No,0,0,,,,,,0,2,1L,1,0,2,7,2,No,BNSFCA0208200200802
BNSF,BNSF Railway Company,2008,CA0208201,08,02,,,,,,BNSF,BNSF Railway Company,CA0208201,08,02,028623R,02/16/2008,12:10 PM,02,16,12,10,PM,KISMET,CALIFORNIA,,039,MADERA,06,CALIFORNIA,,AVE 20 1/2,Y,Public,A,Auto,5,4,West,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,4,Neither,,,,58,2,Day,1,Clear,1,Freight Train,1,Main,SINGLE MAIN,5,4,69,70,E,3,East,1,,,,,,,,,,,3,Gates,,,,,,,,,,,Standard FLS,1,Provided minimum 20-second warning,,,,,1,Both sides,,No,72,Male,No,1,Went around the gate,No,8,Not obstructed,2,Injured,Yes,0,1,2000,1,0,0,2,No,0,0,,,,,,0,1,1L,1,0,1,7,2,No,BNSFCA0208201200802
BNSF,BNSF Railway Company,2009,CA0209200,09,02,,,,,,BNSF,BNSF Railway Company,CA0209200,09,02,028706E,02/14/2009,3:04 AM,02,14,03,04,AM,FLUHR,CALIFORNIA,,047,MERCED,06,CALIFORNIA,WINTON,WINTON WAY,Y,Public,A,Auto,0,1,North,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,4,Neither,,,,43,4,Dark,2,Cloudy,1,Freight Train,1,Main,SINGLE MAIN,5,4,33,42,R,3,East,1,,,,,,,,,,,2,Gates,,,,,,,,,,,Cantilever FLS,1,Provided minimum 20-second warning,,,,,1,Both sides,Yes,Yes,,Male,No,5,Other,No,8,Not obstructed,2,Injured,Yes,0,2,2000,2,0,0,3,No,0,0,,,,,AGE OF DRIVER UNKNOWN  41: REAR FOULED TRACK,0,2,1L,1,0,2,7,2,No,BNSFCA0209200200902
BNSF,BNSF Railway Company,2009,CA0209201,09,02,,,,,,UP,Union Pacific Railroad Company,XXX,09,02,833770X,02/23/2009,5:30 AM,02,23,05,30,AM,POLLOCK,CALIFORNIA,,067,SACRAMENTO,06,CALIFORNIA,,FLORIN ROAD,Y,Public,A,Auto,3,3,East,3,Moving over crossing,1,Train (units pulling),20,2,Rail equipment struck by highway user,2,Rail equipment,4,Neither,,,,56,1,Dawn,2,Cloudy,1,Freight Train,1,Main,SINGLE MAIN,3,3,71,38,R,2,South,1,,,,,,,,,,,3,Gates,,,,,,,,,,,Standard FLS,1,Provided minimum 20-second warning,,,,,1,Both sides,No,Yes,55,Male,No,1,Went around the gate,No,8,Not obstructed,2,Injured,Yes,0,1,5000,1,0,0,2,Yes,0,0,,,,,,0,1,1L,1,0,1,7,1,Yes,BNSFCA0209201200902
BNSF,BNSF Railway Company,2008,CA0308200,08,03,,,,,,BNSF,BNSF Railway Company,CA0308200,08,03,028775M,03/08/2008,4:30 AM,03,08,04,30,AM,ESCALON,CALIFORNIA,,077,SAN JOAQUIN,06,CALIFORNIA,,HARROLD AVE CAMTY,Y,Public,A,Auto,0,4,West,1,Stalled or stuck on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,2,Rail equipment,4,Neither,,,,46,4,Dark,1,Clear,1,Freight Train,1,Main,DOUBLE TRACK,5,3,48,69,E,4,West,1,,,,,,,,,,,3,Gates,,,,,,,,,,,Standard FLS,1,Provided minimum 20-second warning,,,,,1,Both sides,Yes,No,45,Female,No,4,Stopped on crossing,No,8,Not obstructed,3,Uninjured,No,,,3000,0,,,2,No,0,,,,,,,0,0,1L,1,0,0,7,2,No,BNSFCA0308200200803
BNSF,BNSF Railway Company,2008,CA0308201,08,03,,,,,,BNSF,BNSF Railway Company,CA0308201,08,03,028718Y,03/21/2008,12:05 PM,03,21,12,05,PM,DENAIR,CALIFORNIA,,047,MERCED,06,CALIFORNIA,,PRIVATE,N,Private,B,Truck,0,4,West,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,4,Neither,,,,72,2,Day,1,Clear,1,Freight Train,1,Main,SINGLE MAIN,5,5,67,68,R,3,East,,,,,,,,,,,,8,,,,,,,,,,,,Stop signs,,,,,,,1,Both sides,,No,,Male,No,4,Stopped on crossing,No,8,Not obstructed,3,Uninjured,No,,,22000,,,,2,No,,,,,,,AGE OF DRIVER UNKNOWN,0,0,1L,1,0,0,7,2,No,BNSFCA0308201200803
BNSF,BNSF Railway Company,2008,CA0308202,08,03,,,,,,BNSF,BNSF Railway Company,CA0308202,08,03,028704R,03/28/2008,2:35 PM,03,28,02,35,PM,FLUHR,CALIFORNIA,,047,MERCED,06,CALIFORNIA,,BUHACH RD,Y,Public,K,Pedestrian,,1,North,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,2,Rail equipment,4,Neither,,,,71,2,Day,2,Cloudy,1,Freight Train,1,Main,SINGLE MAIN,5,3,70,64,R,3,East,1,,,,,,,,,,,3,Gates,,,,,,,,,,,Standard FLS,1,Provided minimum 20-second warning,,,,,1,Both sides,Yes,No,40,Male,,,,,8,Not obstructed,,,,1,0,0,1,0,0,2,No,0,0,,,,,,1,0,1L,1,1,0,7,2,No,BNSFCA0308202200803
